DEP,Libelle,nb_communes,total_communes,pct_communes,pop_equip,total_pop,pct_pop
06,medecin_generaliste,81,163,"0,4969325153","1080986,583","1109574,75","0,9742350241"
06,chirurgien_dentiste,63,163,"0,3865030675","1049201,083","1109574,75","0,9455884638"
06,sage_femme,28,163,"0,1717791411","920248,5833","1109574,75","0,8293705163"
06,infirmier,86,163,"0,527607362","1085853,833","1109574,75","0,9786216146"
06,laboratoire_d_analyses_et_de_biologie_medicale,33,163,"0,2024539877","971765,0833","1109574,75","0,875799565"
06,ambulance,37,163,"0,226993865","950969,5","1109574,75","0,857057625"
06,pharmacie,70,163,"0,4294478528","1068350,083","1109574,75","0,9628464268"
06,cinema,25,163,"0,1533742331","817409,75","1109574,75","0,7366874111"
06,bibliotheque,107,163,"0,6564417178","1016552,417","1109574,75","0,9161639778"
06,arts_du_spectacle,6,163,"0,03680981595","588486,1667","1109574,75","0,5303709071"
06,decheterie,50,163,"0,3067484663","877393,5833","1109574,75","0,7907476115"
07,police,6,335,"0,01791044776","64523,16667",312788,"0,206284022"
07,gendarmerie,29,335,"0,08656716418","100769,9167",312788,"0,3221668244"
07,reseau_de_proximite_pole_emploi,4,335,"0,01194029851","45512,41667",312788,"0,1455056353"
07,aeroport,0,335,0,0,312788,0
07,gare_de_voyageurs_d_interet_national,0,335,0,0,312788,0
07,gare_de_voyageurs_d_interet_regional,0,335,0,0,312788,0
07,gare_de_voyageurs_d_interet_local,2,335,"0,005970149254","16081,08333",312788,"0,05141208529"
07,implantations_france_services_ifs,29,335,"0,08656716418","63772,16667",312788,"0,2038830347"
07,bureau_de_poste,44,335,"0,1313432836","142658,8333",312788,"0,456087936"
07,agence_postale,111,335,"0,3313432836","92733,25",312788,"0,2964731703"
07,ecole_maternelle,38,335,"0,1134328358","143340,25",312788,"0,4582664616"
07,ecole_primaire,186,335,"0,5552238806","262999,75",312788,"0,8408242963"
07,ecole_elementaire,55,335,"0,1641791045","150760,0833",312788,"0,4819880665"
07,college,28,335,"0,08358208955",118667,312788,"0,379384759"
07,lycee_d_enseignement_general_et_ou_technologique,7,335,"0,02089552239","63335,16667",312788,"0,2024859223"
07,lycee_d_enseignement_professionnel,9,335,"0,02686567164","66838,41667",312788,"0,2136860003"
07,lycee_d_enseignement_technique_et_ou_professionnel_agricole,4,335,"0,01194029851","40380,41667",312788,"0,1290983563"
07,etablissement_sante_court_sejour,16,335,"0,04776119403","83483,91667",312788,"0,2669025559"
07,etablissement_sante_moyen_sejour,19,335,"0,05671641791","78929,41667",312788,"0,2523415753"
07,etablissement_sante_long_sejour,2,335,"0,005970149254",10014,312788,"0,0320152947"
07,urgences,4,335,"0,01194029851","45970,16667",312788,"0,1469690866"
07,maternite,3,335,"0,008955223881","38397,16667",312788,"0,1227577997"
07,dialyse,2,335,"0,005970149254","27374,41667",312788,"0,08751747723"
07,medecin_generaliste,81,335,"0,2417910448","195294,5",312788,"0,6243669834"
07,chirurgien_dentiste,54,335,"0,1611940299","170516,5833",312788,"0,5451506558"
07,sage_femme,28,335,"0,08358208955","116595,8333",312788,"0,3727631282"
